source_hackathon,month,project_tech,tPrimary,tRuby,TJava,TC#,TPython,TPhp,TJavascript,project_type,project_category,project_views,project_longd,project_name,comment_2,comment_1,project_description
Money2020,10, Android Bluetooth Low Energy Modules Feedzai api Multitool Hot Water custom hardware,Other,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Android,Consumer,26,"Someone steals your wallet. No problem--your phone alerts you within 10 seconds because of our tiny (6mm x 6mm) custom-hacked $2 receiver placed in the wallet. Swipe right to go into lockdown mode: (1) Immediately blacklist your stolen cards for participating merchants using the Feedzai API. (2) Alert merchants on Feedzai if a swiped or typed card is stolen, saving them the costs of both online and offline credit card fraud ($3.5 billion in 2013!). (3) Deactivate the stolen cards by traversing the automated call list using Twilio. The leading wallet-protection device, Tile, uses a device 40x bigger and 12x more expensive than ours. Tile can be easily removed by a thief, it doesn't protect your cards, and doesn't protect merchants. To make the Locket receiver, we hacked an electronic tag with hot coffee (to melt the glue) and the Braintree swag (to crack the case and pry the sucker out). It is based on the CC2540 Bluetooth low energy System-on-Chip. It uses minimal battery and is compatible with major Apple and Android devices. #LocketAndChill #MakeAmericaSafeAgain",Locket,,,We solved credit card theft and fraud with $2
Money2020,10, C# golang full-stack javascript Python,Javascript,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,IOS,Security,8,"We protect credit cards and customer accounts with 3D biometric, voice, and motion authentication. Using Natural Language understanding and 3D technology, we also provide a highly individualized shopping experience for everyone.",For Your Eyes Only,,,3D Biometric authentication and your own personal shopper
Money2020,10, Ruby on Rails Bootstrap Javascript Blockchain Wallets Blockchain API,Ruby,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,Web App,Game,21,"Chain Cards is on a mission to accelerate BTC adoption, with a focus on the Millenial and Gen Z groups. We seek to augment BTC adoption by creating Blockchain-backed digital assets that users will cherish and interact with on a daily basis. In addition to creating original assets, Chain Cards is a publishing house for other entities that wish to sell or crowdsource digital goods using the Blockchain as a record of ownership. Tournameme is demonstration of Chain Cards at play. It's a simple, hilarious social game played with virtual cards that have user ownership coded into the Blockchain. Users choose packs of champion cards (like Cat Memes) to enter into tournaments. Tournaments consist of tongue in cheek challenges such as ""Who would win in a duel where both parties are wielding swordfish?"" The whole Tournameme community may vote for the participating champion that most deserves this ridiculous accolade. Winners and losers alike will get satisfaction in seeing the silly champion match-ups and challenges.",Tournameme by Chain Cards,,Project at tournameme.com.,Silly Blockchain card game
Money2020,10, Java First Data Payeezy,Java,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Web App,Finance,17,An app that helps the users have a quick and simple checkout process in retail stores using the mobile app. The app scans barcodes and allows the customer to quickly pay for the items they want without waiting in line.,EzPzy,,,Smooth retail checkout transition app
Money2020,10, Firebase Swift NumPy scikit-learn Machine Learning iBeacon D3.js iOS AngularJS Javascript Python worldpay,Javascript,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,IOS,Analytics,25,Beacons + Wearables + Demographics = Increased Sales,BAE (Business Analytics and Emotions),Node.JS,Hey guys - love what y'all came up with. Any interest in giving a demo of your idea to some of us at Worldpay corporate?,Consumer Emotional Data Analytics
Money2020,10, Parse Node Sketch ModoAPI full-stack javascript Webflow,Javascript,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Web App,E-commerce,34,"Switch is a peer-to-peer gift card marketplace built right into your browser. Pop open the Switch Chrome extension right before checking out, click ""apply,"" and let Switch handle the rest É?? it'll buy discounted gift cards on your behalf and apply them right to your cart. You pay Switch's discounted price, merchants can offer deals subsidized by other customers, and gift card holders get to liquidate their unused gift cards.",Switch,,,Discounts to your favorite sites. On demand.
Money2020,10, No stack info.,Other,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Finance,20,,handshake,,,the coolest paying method ever!
Money2020,10, Python Meteor.js Modo API,Javascript,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,Web App,Finance,17,"Imagine shopping in-store in the year 2020. No need to carry items in a physical shopping cart, no need to carry a physical wallet. PayWise is a mobile app that brings the future of the in-store shopping experience to you. We create an end-to-end payment experience using the optimized payment methods based on the goals you have and rules you set. The goals can be anything from improving your credit score, maximizing cash flow, avoiding overdrafts, to maximizing credit rewards. Or you could also create your own IFTTT rules that automatically define how you transact. All you need to do is to link your financial accounts, create rules, and scan the items you want to buy. PayWise recommends the optimal way for you to pay across your different sources, using a combination of payment sources. Without hassle, you simply get the app-generated barcode scanned by the cashier. Boom, you're done. PayWise. We optimize the way you pay based on the rules you set.",PayWise,,,"Optimize the way you pay, with automated IFTTT rules"
Money2020,10, PayPal IBM Fitbit,Other,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Web App,IOT,21,"By using machine learning from IoT devices, we automate the allowance process for chores between parents and children.",PoMo,,,automated allowance with IoT
Angelhack-BA,7, PHP Android PhoneGap Ionic Framework facebook api AngularJS Amazon S3 Clusterpoint database,PHP,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Android,Consumer,42,An app where your friends can leave you secret video messages that you can watch exactly when you need some love https://github.com/atiko7-tomas/happyme.git,Happyme,,,Improving happiness
Angelhack-BA,7, JavaScript PhoneGap Angular.js Node Ionic Framework,Javascript,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Web App,Consumer,36,Chat with nearby people and in five messages match somebody,Now or Never,,,"Five messages, 3 minutes, 1 objective: meet someone."
Angelhack-BA,7, Java JavaScript Objective-C PHP MongoDB Laravel HTML5 Apache Cordova nodejs,Javascript,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Web App,Consumer,36,"Helppl es una aplicaci??n mobile que se basa en dar y recibir ayuda de gente cercana, sin necesariamente obtener algo a cambio.",Helppl,,Al??,Helppl allows you to help nearby people
Angelhack-Manila,8, C#.NET AngularJS Clusterpoint database,C#,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,IOS,Consumer,24,"The project is more a proof of concept. Sometimes it is hard to find washrooms because one is unfamiliar with the layout of the buildings as well as where one is allowed to enter. The point of the app is to provide and easily-updated source of on-the-spot information. The locations being pointed out could just as easily be emergency rooms that aren't overwhelmed with patients, clinics with specialty care that aren't well-publicised, and so on.",3PL Public Pee Place Locator,,You can check out the code here: https://github.com/DemoKite044/AngelHackTeamRepo,Find the nearest comfort room anywhere
Angelhack-Manila,8, Laravel Intel Galileo Gen 2 Arduino,PHP,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Hardware,Analytics,31,,RetailOne,,,Realtime store analytics platform solutions
Angelhack-Manila,8, JavaScript Python CSS HTML5 Chikka API Raspberry Pi AngularJS Javascript Python Raspberry Pi HTML5 CSS Bootstrap Chikka,Javascript,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,Web App,Consumer,44,OneWatt is mobile application that controls the use of a companyÉ??s electricity by switching the power source to a battery/stored electricity during MeralcoÉ??s peak hours and putting it back to the grid during off peak hours while charging the battery again for the peak hour consumption.,OneWatt,,,Manages and Monitors Electricity Consumption
Angelhack-Manila,8, No stack info.,Other,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Social Media,26,,PhotoChop,,,A Small Photo Community
Angelhack-Manila,8, No stack info.,Other,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Game,31,Yugto is game about Philippine mythology and travel. It is focused mainly on Filipino dieties and travel locations.,Yugto,https://youtu.be/gosUXhnclGY,https://github.com/gilnicx/yugtoAngelHackMnl2015/tree/master,Yugto is game about Philippine mythology and travel.
Angelhack-Manila,8, JavaScript Android node.js Amazon AWS Arduino Development microservices Cluster point WARP (PHP),Javascript,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Android,Medical,73,"Do you find it such a pain to maintain your nutritional health? If you do, then say goodbye to planning health drinks, thinking about food constraints and tediously looking for ingredients. JuiceBox is a smart machine that automatically dispenses your daily drinks without you having to think and analyze your diet. It uses your personalized health profile to produce the best drinks suited to your needs. What's more is that you can monitor everything on your phone. With JuiceBox, maintaining your nutritional health becomes easy and exciting.",JuiceBox,,,Intelligently transforming public health one drink at a time
Angelhack-Manila,8, No stack info.,Other,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Consumer,28,,Files,,,Document Syncing anywhere on the planet
Angelhack-Manila,8, Android Parse YouTube,Java,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Android,Consumer,28,A platform where you can validate your ideas.,Project Pie,,,Vine for Pitches
Angelhack-Manila,8, threejs,Other,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Web App,Consumer,34,Real estate listings website that features 360 degree images (Photospheres) displayed in VR using google cardboard.,360properties.ph,,Changing name to 360realty.ph,Real estate listings website that features 360 degree images (Photospheres) displayed in VR using google cardboard.
Angelhack-Manila,8, Spring Framework Android Amazon AWS REST Hibernate Core java,Java,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Android,Consumer,32,"June is a SMS queue management system that makes the life of customers easier by allowing them to physically leave the queue for convenience and automatically summoning them through text message just in time for their turn, business owners able to gain competitive marketing advantage through the contact numbers collected by the system and a meaningful insights using the transaction data gathered from customers, for operation; business becomes more efficient as June improves customer satisfaction and lesser hassle for employees as it minimise common queuing problem (e.g. lost number, etc) compared to the traditional numbering system.",June Queue Management Platform,,,Queueing made convinient
Angelhack-Manila,8, No stack info.,Other,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Consumer,38,,Genie,,We gonna blow dem backs ooout,the ultimate wishlist
Angelhack-AbuDhabi,9, Python iOS Microsoft Excel SQL Lite,Python,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,IOS,Social Media,22,Ecosystem for different stages of startups to collaborate and bid for investment from angel investors/venture capitalists. Dropbox:https://www.dropbox.com/s/kbvxbod89pnlz3u/StartHub.pdf?dl=0,StartHub,,,Platform to connect startups and venture capitalists.
Angelhack-AbuDhabi,9, HTML5 CSS3 Javascript,Javascript,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Web App,Analytics,25,A big analysis open source application that does sentimental analysis demonstrated based on demo-graphical locations and humans activities.,NorsX,,,An Open Source Analytics Visualization Framework
Angelhack-AbuDhabi,9, IBM Bluemix fusetool,Other,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Web App,Consumer,25,"I am designing the birthday experience for mobile, so when the user opens my app he can record a funny video for their friends, and split the gift cost with friends.",PROJECT B,,,Make everyone happy on her/his birthday
Angelhack-AbuDhabi,9, No stack info.,Other,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Security,14,"Have you ever found yourself in a vulnerable position and/or alone? With Pocket Buddy, this basic emergency application is designed to alert your close ones about your current situation for faster response time and prevention.",Pocket Buddy 2,,,Real time security location alert system
Angelhack-AbuDhabi,9, No stack info.,Other,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Social Media,23,"A mobile application that target university students. It allow students to find and share study groups (locations) , materials (notes, slides, assignments etc..), and tutorials of their own.",StudentHub,,,Share and Find what matters to you as a student
Angelhack-AbuDhabi,9, Swift,C#,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,IOS,Security,18,"Amongst the two of us (12th graders), we've spent nearly US$ 7000 on career counselling and college admission guidance. We think that's a huge problem, as it creates a fundamental gap in accessibility of resources, something we personally believe is unjust and must be bridged. That's where we come in. UniConnection aims to bridge that gap by bypassing the third party; it connects high-schoolers directly to students of the institution they wish to gain admission to. Thus, it allows all high school students a cheap, highly effective alternative to expensive counselling programs many cannot afford straight from someone in a similar age group with first-hand experience, and it offers University students an alternative, convenient source of income. It also eliminates the middleman by enabling payment directly to and from the concerned parties. Even though fundamental tuition is accessible to almost all individuals, there are numerous other factors that promote a chasm of inequality in educational opportunities amongst students. UniConnection is the first step towards changing that.",UniConnection,,,Authentic Information for College-Bound Students
Angelhack-AbuDhabi,9, MIT APP INVENTOR,Other,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Web App,Security,8,"Have you ever found yourself in a vulnerable position and/or alone? With Pocket Buddy, this basic emergency application is designed to alert your close ones about your current situation for faster response time and prevention.",Pocket Buddy,,,Real time security location alert system
Angelhack-AbuDhabi,9, KendoUI javascirpt HTML5 C#.NET Material Design,Java,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,IOS,Consumer,15,The Easiest Way To Translate your legal documents in the UAE,Tarjem,,The Easiest Way To Translate your legal documents in the UAE,Easiest Way To Translate your legal documents
Angelhack-AbuDhabi,9, IBM Bluemix PHP,PHP,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Web App,Consumer,21,"We utilize data mining for a smart search of your contacts. Find who you are looking for, even without knowing the exact spelling of their name.",FlexName,,,Smart contact search
Angelhack-AbuDhabi,9, Adobe Photoshop MySQL PrimeFaces Android App Developer Python/Django,Python,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Android,Consumer,20,"A lifetime application that helps you find your purpose in life. It guides you in reflecting and feeling comfortable about your purpose which, in turn, helps manifest your purpose and making it a reality.",e-purpose,,,Your Online Life Coach
Angelhack-AbuDhabi,9, No stack info.,Other,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Consumer,16,,HappyCats,,,Finding home for happy cats!
Angelhack-AbuDhabi,9, Github C#.NET,C#,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,IOS,Security,34,"SpyKiller comes packed with features! - Does not have a boring interface like AVG antivirus - Scans the registry - Can generate strong SHA password hashes - Can compare SHA hashes - Has a strong RSA file encryption system - Has a powerful scanner - Is very small in size 4~5MB - Can decrypt RSA security - Checks your startup folder for any threats - Has a 5-step strong cleaner - Is only $2! - You can use one License Key for a whole organization - SpyKiller can be made portable - SpyKiller has a Process Sniffer - SpyKiller provides you with tips to be safe - SpyKiller uses definition files and can be auto/manually updated - SpyKiller has a user-friendly UX - Supports 64-bit/32-bit cross platform processes - Supports Apple Mac & Linux - Easy to debug - A powerful security API - Not only for SpyWare, also for Creepers, worms, trojans and generic viruses - Doesn't give you annoying popups - Easy to use - Never installs Adware - Supports non-Intel processors - Raspberry Pi2 can run SpyKiller - SpyKiller can be run under Windows Preinstallation Environment - SpyKiller's API will work with VB.NET/C#/F# FUTURE WORK: - Making SpyKiller for Android aswell for iOS & Windows Phone - Open Source API & libraries - Better UX - A new way of using SpyKiller (UX change) - Different Layout - GPS System for lost devices - Remote scanner",SpyKiller,https://github.com/techspider/spykiller,If he is real!,SpyKiller is more than just a Spyware cleaner!
Angelhack-AbuDhabi,9, node.js Parse Google Maps API Instagram API twitter api IBM Bluemix,Javascript,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Web App,Analytics,31,"GeoSurge helps businesses, government and emergency services detect and respond to atypical surges. It uses Instagram, Twitter and Eventbrite APIs to detect such anomalies in users' locations. This data is visualised using the Google Maps API. Our data is stored on Parse and our server runs on IBM Bluemix. Future improvements include harnessing the power of Machine Learning and Big Data analytics, as well as Facebook and Foursquare APIs, to make even more accurate predictions about users' geolocation data.",GeoSurge,,,Real-time location analytics
Angelhack-AbuDhabi,9, No stack info.,Other,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Professional Services,19,Our website allows customers to view major events happening around the city and discovering tweets that are being posted regarding to a particular event.,theHappenings,,Please be ready with 2 slides of the project and team intro. A logo would look good too.,Our projects help businesses to know the events happening around the city
Angelhack-AbuDhabi,9, RPG Maker VX Ace,Other,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Web App,Game,12,"It is a computer game built using RPG Maker VX Ace, and its story is about the main character called ""Elpiodas"" who have fallen into despair and decided to suicide. The main purpose of the game is to give hope to people who are victims of despair, and to help them overcome their problems.",Elpidios means hope,,,"Mystery, adventure RPG game"
Angelhack-AbuDhabi,9, Angular.js CSS Javascript HTML,Javascript,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Web App,Consumer,26,"Using a self-managed algorithm, users are able to create assessments that self-ranks the candidates and gives insights into their personalities and likelihood of 'fit' within the role/organization assessment was for. https://github.com/edgarzakaryan/quanda",Quanda,,"Domain knowledge support needed to polish the algorithm, more complex than the simplistic weighed question process",Dynamic Assessment Platform
Angelhack-AbuDhabi,9, Java MySQL gimp Bluemix mobiledata HTML5 CSS PHP,Java,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,Web App,Consumer,13,A muti-functional messangng app which lets the user to create their own social network. It can vary from a gaming community where you can create tournament events to a healthcare platform in which doctors can use it as a forum for discussing medical emergencies.,Cortiere,,,Open source group organizer
Angelhack-AbuDhabi,9, MySQL PHP with Blend of HTML and CSS,PHP,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Web App,Consumer,50,"Webit is an online platform that generates websites through the content provided by the user in a linear workflow. Most content management systems are overly complicated and the end user has to spend hours trying to create a basic website for themselves. And if the creator wants to do something out of the ordinary they can forget it, because they would need a basic knowledge of programming. Our online platform, however, is very different. The user-ability is extraordinary. It's as easy as filling up a form. The creator is guided through steps, so they would know what to do at all times. So, if you have a small or medium business or if you want to create a personal website and don't want to spend much time or money, use Webit. Link for the presentation and screenshots : https://www.dropbox.com/sh/5mauu9f5otadad3/AABlj-FerAO1OQCaCpCfebQfa?dl=0",Webit,,Please be ready with 2 slides of the project and team intro,Webit is an easy to use website generator with a linear workflow.
Angelhack-AbuDhabi,9, No stack info.,Other,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Consumer,31,A place for people to share their ideas and have others comments or contribute to the idea to make it becomes real.,Inception,Please be ready with 2 slides of the project and team intro. A logo would look good too.,"Good idea, especially when restricted with language issues!",Idea repository
Angelhack-AbuDhabi,9, iOS SDK Parse Swift Objective-C,C#,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,IOS,Consumer,29,"CareemPlus inspired by Careem and built for Careem's services is an app made for the captains that contribute in making Careem the successful business that it is today. We aim to solve some of the challenges proposed by the folks at Careem. CareemPlus includes the following features: -Landmark Highlighting: (Solves/Improves: Passenger Routing ) This feature pinpoints the closest and most renowned landmarks around the passenger's pickup location. This not only makes it easier and more hassle free for our captains but our passengers too. -Captain Authorization: (Solves: Identity Theft, Improves: Safety) This feature makes use of biometric data (eg: Fingerprints) and allows our captains to verify their identity ensuring the safety of our vehicles, captains and most importantly our passengers. -An EventHub section: (Solves: Lack of passengers) This section displays all the important happenings of the city with a time, date and location. This feature enables our Captains to find a multitude of passengers especially since these events generate a lot of traffic. N.B: Another feature which is currently a work in progress (unable to complete due to time constraints) is a mass broadcasting dispatch system. We at CareemPlus plan on implementing this using Parse (Mobile Backend/DB) and Javascript Cloudcode. This feature would allow captains to warn other captains of traffic jams/accidents and which roads to avoid. This feature would also allow the folks at CareemPlus HeadQuarters to send important updates and messages to our captains synchronously",CareemPlus,Great stuff for the one day of coding! Careen should just hire them :),"Very strong ideas, good execution and initial design",Experience a revolution in transportation with hi-tech destination routing.
Angelhack-Iran,9, No stack info.,Other,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Consumer,16,"Design and making management system, identify and assess the damage to crops, pests, diseases and weeds",damage crops detection,,,damage crops detection
Angelhack-Iran,9, Parse Google Map API Android,Java,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Android,Consumer,26,Chetoriberam is an android app which let users to suggest and get suggestions about route from predefined sources and destinations :) A simple solution for routing through Tehran's complicated public transportation system...,Chetoriberam,,,Crowd source routing solution
Angelhack-Iran,9, Parse Android,Java,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Android,Consumer,18,,RemindMe,,,Remind Me my task in a fun way.
Angelhack-Iran,9, PhoneGap Apache Cordova SQLite3 core javascript,Javascript,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Web App,Consumer,31,"A multi-platform application that users can add pins in map with a radius of reminding. When user is in that radius, the application will send them a notification to remind them.",RemindThere,,,Location based reminder
Angelhack-Iran,9, Android nodejs iOS Mysql,Javascript,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Android,Consumer,10,An application that helps you to buy the best present for your friend,iKado,,,Smartest present recommender ever !
Angelhack-Iran,9, MATLAB ASP.NET MVC Framework Image Processing Bootsrap,Other,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Web App,Consumer,12,"Organize your Closet, Choose what to wear today, We recommend you the best outfit",Hala Chi Bepoosham,,,WE CAN CHOOSE FOR YOU THE BEST!
Angelhack-Iran,9, ActionScript Adobe Photoshop javascirpt jQuery Adobe Flash Bootstrap PHP,Java,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,Web App,E-commerce,5,"In this project, it has been created a platform to order clothes that customers like them which can be ordered online to the desired tailor for sewing clothes",brandly,,,online order for sewing clothes
Angelhack-Iran,9, iOS SDK Laravel jQuery Bootstrap,C#,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,IOS,E-commerce,12,,Boqche,,,Buy from outside of iran
Angelhack-Iran,9, Laravel Cluster point Android voximplant,PHP,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Android,Consumer,28,"With Bottel, you can tap on a map to choose the country you need some information about, and ask someone from there.",Bottel,,,Send messages in a bottle
Angelhack-Iran,9, SQLite3 Responsive Design User Experience Material Design Flat Design Android-Native Design Methodology,Other,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Android,Game,24,"All people like to play games, challenge themselves, dare challengers and have happy time. All of this are in a shape of team works or simply individual. Enter in challenge or tournament and evaluate your knowledge and information in football. Gain Goals and Cups as a winner or lose it in a damn situation.",Legions,,,Game: Legion of Football Nerds
Angelhack-Iran,9, PHP javascirpt HTML CSS,PHP,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,Web App,Consumer,13,we try to make auction gate safe,Safe Auction System,,,try to make auction gate safe
Angelhack-Iran,9, CodeIgniter Basic PHP,PHP,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Web App,Consumer,7,,Nonstop,,,Remove gateways time gap
Angelhack-Iran,9, Android Parse HTML5 CSS3 javascript,Javascript,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Android,Consumer,23,,PushMeUp,,,A modern unified platform for Trainers and Gyms
Angelhack-Iran,9, No stack info.,Other,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Consumer,12,With EventEx you can know all news event notifications,EventEX,,,EventEX Event Manager
Angelhack-Cinci,7, No stack info.,Other,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Social Media,9,https://github.com/aidanwolf/sonder,Sonder (AngelHacks),,,We enable users to share audio anonymously in exact locations
Angelhack-Cinci,7, Java JavaScript Objective-C Spring Framework Android CSS Adobe Photoshop Heroku Frontend - HTML/CSS/Bootstrap Swift jQuery Sketch JSON Requests HTML xCode iOS Spring Boot Bootstrap Android studio Apple Watch Vim cocoapods RESTful,Javascript,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Android,Security,20,Authum provides third-party authentication through push notifications. http://github.com/Hoodbluck,Authum,"NOTE: There's an issue while trying to link the fourth member of our team, her name is Nelida Velazquez: http://www.hackathon.io/nelida",Main GitHub Organization for project http://github.com/Hoodbluck,A More Personal Authentication Solution
Angelhack-Cinci,7, Laravel Slack,PHP,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Web App,E-commerce,12,Our application simplifies the process of gathering lunch orders for large groups. https://github.com/searsaw/lunch,Lunch.run,,,Online order gathering for groups
Angelhack-Cinci,7, JavaScript Python CSS flask HTML,Javascript,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,Web App,Consumer,53,Atumsoft allows labs to remove stand alone computer stations for individual pieces of equipment by connecting them to wireless station transmitters. These transmitters join a central client to allow the user to monitor multiple stations from a single computer.,Atumsoft,,https://github.com/conyerbd/Atumsoft,Simplified laboratory computing
Angelhack-Cinci,7, node.js Amazon AWS Express.js handlebars,Javascript,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Web App,E-commerce,11,https://github.com/crowelch/3d-plasticity,3D Plasticity,,,a Crowdsourced marketplace for locally printed 3D goods
Angelhack-Cinci,7, ASP.NET MVC Framework Android MS Sql Server google plus api,Java,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Android,Consumer,13,web github: https://github.com/cbudo/quikgrubbix Android github: http://github.com/EasyGrub,QuikGrub,,,Food order Management Platform with B2B and B2C branches
Angelhack-Cinci,7, Ionic Framework mean stack,Javascript,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Web App,Consumer,20,"Diner Roulette is a growing trend in restaurant-dense neighborhoods. In order to reduce their wait, customers put their names on the waitlist for many restaurants at once and then wait for a call from the first available one. The remaining restaurants are often stuck trying to reach this person, who is no longer interested in their business, before seating others - costing them time and reducing the accuracy of their wait time estimates. https://bitbucket.org/ah_cincy_mesa Mesa is a product aiming to solve this problem. The central component is a waitlist management app used by the hosting team of each restaurant. This app allows the hosting team to add new reservations, notify customers of table availability, and mark customers as being seated to close the reservation and remove that customer from ALL connected wait lists at other restaurants. Removing seated customers will allow for increased wait time estimations and allow more flexibility in preferential seating for all of the restaurants using Mesa. Analysis of the data collected can be used to improve restaurant operations and customer marketing / retention programs. From the customer side, a mobile app allows them to search for restaurants in a given area and be presented with a list containing basic restaurant details, price range / rating indicators, and current estimated wait times. Customers can then check in remotely (if the restaurant allows), review the remaining wait time, and receive notifications from the restaurants.",Mesa Cincy,,,Synchronized inter-diner waitlists
Angelhack-Cinci,7, No stack info.,Other,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Consumer,21,https://github.com/teachableCinci/teachable,Learnable,,,"A responsive, personalized education app"
Angelhack-Cinci,7, Android Adobe Photoshop Adobe Illustrator Parse Adobe After Effects Factual,Java,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Android,Consumer,20,"Burger Guild is a constantly updated list of the best burgers crowdsourced by fellow users around where YOU are. No noise. No having to wait or seek out a top burgers list. ItÉ??s always in your pocket and always up to date. ItÉ??s all burgers, all the time. https://github.com/joshuarose/burger-guild-android",BurgerGuild,,,Interactive top burger list
Angelhack-Cinci,7, bluemix,Other,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Web App,Finance,29,"MyStockTrader uses the same technical analysis strategies used by market technicians, but with broader and more thorough computational skill. MyStockTrader can be easily customized based on your risk preference as it responds to market trends, and is very simple to manage and monitor. https://github.com/kristinvand/MyStockTrader.git",MyStockTrader,,,Automated Stock Trading
Angelhack-Manhattan,7, No stack info.,Other,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Consumer,33,"Emotion recognition via image processing and machine learning to express emotion through social media, specifically Twitter.",TruthfulRecognition,I would like to see this work with crowds. Getting the moods of a group of people. Moods for events,"Very good, so much potential in the idea would have liked you talk more about business opportunities but impressed you executed that in the weekend.",How do you really feel?
Angelhack-Manhattan,7, Express.js Myo Raspberry Pi nodejs Cluster point,Javascript,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Web App,Consumer,36,"Myonic lets you add IoT functionality and access to any existing technology that uses infrared -- from your dumb tv to your air conditioner. In addition to offering a single centralized website for all your appliances, Myonic comes with built-in Myo gesture support. With Myo on your arm, no longer will you have to search for a remote between the cushions. Better yet, all these devices and more can easily be added from our repository hosted on Clusterpoint. If you own a particularly obscure piece of technology that isn't on our list, you can train the Myonic with the original manufacturer's remote.",Myonic_,"Great idea. For your pitch, would recommend highlighting up front more clearly the problem you're solving.",I didn't really understand what the product was. Really cool demo!,Control your IR devices with Myo
